,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,4.0,1.0,11,0.3670989144973405,1891
0.0,4.0,1.0,11,0.15253175939724017,18990
0.0,4.0,1.0,11,0.12084417059762231,15515
0.0,4.0,1.0,11,0.11104958619741181,11940
0.0,4.0,1.0,11,0.10869384302278987,65591
1.0,4.0,1.0,62,0.12273399105140274,667
1.0,4.0,1.0,62,0.11716383143129692,9638
1.0,4.0,1.0,62,0.10768233684223875,85341
1.0,4.0,1.0,62,0.10422637805155394,12639
1.0,4.0,1.0,62,0.0992122857361663,26357
2.0,4.0,1.0,10331,0.16554220333904318,56500
2.0,4.0,1.0,10331,0.16178138699478378,7219
2.0,4.0,1.0,10331,0.13410970302364197,551
2.0,4.0,1.0,10331,0.11039391762697917,30914
2.0,4.0,1.0,10331,0.11013778437766109,10772
3.0,4.0,1.0,35115,0.11531027216813503,667
3.0,4.0,1.0,35115,0.1041441393615698,5205
3.0,4.0,1.0,35115,0.10123200759301243,54178
3.0,4.0,1.0,35115,0.10055827086596657,65594
3.0,4.0,1.0,35115,0.09926605136679957,3107
4.0,4.0,1.0,14821,0.4008395021733718,14822
4.0,4.0,1.0,14821,0.11489483662718662,38125
4.0,4.0,1.0,14821,0.11055942503382837,65594
4.0,4.0,1.0,14821,0.10695501135317485,17102
4.0,4.0,1.0,14821,0.10103763964686008,39462
5.0,4.0,1.0,1891,0.3670989144973405,11
5.0,4.0,1.0,1891,0.13106645053314153,40761
5.0,4.0,1.0,1891,0.09633711976004672,18990
5.0,4.0,1.0,1891,0.09542051858098147,65591
5.0,4.0,1.0,1891,0.0900870768750374,29778
6.0,4.0,1.0,429,0.18914583432781984,3686
6.0,4.0,1.0,429,0.1368125345855651,391
6.0,4.0,1.0,429,0.11215338519597907,71206
6.0,4.0,1.0,429,0.10402770409708717,52916
6.0,4.0,1.0,429,0.10323099240159855,18928
7.0,4.0,1.0,348,0.18195681573375927,70327
7.0,4.0,1.0,348,0.15866186311495206,3107
7.0,4.0,1.0,348,0.1436133419999885,22701
7.0,4.0,1.0,348,0.13793981761531615,35780
7.0,4.0,1.0,348,0.13762739765160031,25361
8.0,4.0,1.0,8851,0.13753164034912746,30914
8.0,4.0,1.0,8851,0.13536478381411918,19545
8.0,4.0,1.0,8851,0.13039519337693314,26947
8.0,4.0,1.0,8851,0.12604668860799703,3107
8.0,4.0,1.0,8851,0.11489572363796458,113154
9.0,4.0,1.0,7340,0.15425141598158035,36599
9.0,4.0,1.0,7340,0.14358928854010874,23220
9.0,4.0,1.0,7340,0.1265666061639497,54178
9.0,4.0,1.0,7340,0.11973872805650841,64876
9.0,4.0,1.0,7340,0.11658795188669793,28801
