,director,director_revenue,director_budget,director_return,pelicula_id,title,release_date,release_year,budget,revenue,return
0, Yeon Sang-Ho,2129768,8820000,0.24147029478458049,211247,The Fake,2013-11-21,2013,0,0,0.0
1, Yeon Sang-Ho,2129768,8820000,0.24147029478458049,396535,Train to Busan,2016-07-20,2016,8820000,2129768,0.2414702947845804
2, Yeon Sang-Ho,2129768,8820000,0.24147029478458049,389868,Seoul Station,2016-08-17,2016,0,0,0.0
3, Yeon Sang-Ho,2129768,8820000,0.24147029478458049,91088,The King of Pigs,2011-11-03,2011,130000,0,0.0
4,A.R. Murugadoss,175400000,25600000,6.8515625,14070,Ghajini,2008-12-25,2008,9100000,76000000,8.351648351648352
5,A.R. Murugadoss,175400000,25600000,6.8515625,273886,Holiday,2014-06-06,2014,0,0,0.0
6,A.R. Murugadoss,175400000,25600000,6.8515625,69401,Dheena,2001-01-14,2001,500000,500000,1.0
7,A.R. Murugadoss,175400000,25600000,6.8515625,69636,Ghajini,2005-10-14,2005,3200000,0,0.0
8,A.R. Murugadoss,175400000,25600000,6.8515625,86718,7Aum Arivu,2011-10-26,2011,16000000,98900000,6.18125
9,Aamir Khan,28430000,2600000,10.934615384615384,7508,Taare Zameen Par,2007-12-21,2007,2600000,28430000,10.934615384615384
10,Aaron Katz,15425,2500,6.17,46883,Quiet City,2007-03-12,2007,2500,15425,6.17
11,Aaron Katz,15425,2500,6.17,55934,Cold Weather,2010-03-13,2010,0,0,0.0
12,Aaron Katz,15425,2500,6.17,252102,Land Ho!,2014-07-11,2014,0,0,0.0
13,Aaron Katz,15425,2500,6.17,74790,"Dance Party, USA",2006-03-12,2006,0,0,0.0
14,Aaron Katz,15425,2500,6.17,412302,Gemini,2017-03-12,2017,0,0,0.0
15,Aaron Norris,5093707,6000000,0.8489511666666667,27352,Braddock: Missing in Action III,1988-01-22,1988,0,6193901,0.0
16,Aaron Norris,5093707,6000000,0.8489511666666667,19086,Delta Force 2: The Colombian Connection,1990-08-24,1990,0,6698361,0.0
17,Aaron Norris,5093707,6000000,0.8489511666666667,22590,Sidekicks,1992-12-17,1992,0,0,0.0
18,Aaron Norris,5093707,6000000,0.8489511666666667,31544,The Hitman,1991-05-01,1991,0,4654288,0.0
19,Aaron Norris,5093707,6000000,0.8489511666666667,36278,Top Dog,1995-04-28,1995,6000000,5093707,0.8489511666666667
20,Aaron Norris,5093707,6000000,0.8489511666666667,63988,Forest Warrior,1996-11-05,1996,0,0,0.0
21,Aaron Norris,5093707,6000000,0.8489511666666667,48457,Platoon Leader,1988-10-01,1988,0,0,0.0
22,Aaron Seltzer,314717971,115000000,2.736678008695652,10073,Date Movie,2006-02-17,2006,20000000,48548426,2.4274213
23,Aaron Seltzer,314717971,115000000,2.736678008695652,9760,Epic Movie,2007-01-25,2007,20000000,86865564,4.3432782
24,Aaron Seltzer,314717971,115000000,2.736678008695652,7278,Meet the Spartans,2008-01-24,2008,30000000,84646831,2.8215610333333334
25,Aaron Seltzer,314717971,115000000,2.736678008695652,13805,Disaster Movie,2008-08-29,2008,25000000,14109284,0.56437136
26,Aaron Seltzer,314717971,115000000,2.736678008695652,40264,Vampires Suck,2010-08-18,2010,20000000,80547866,4.0273933
27,Aaron Seltzer,314717971,115000000,2.736678008695652,225703,The Starving Games,2013-11-07,2013,4500000,0,0.0
28,Aaron Seltzer,314717971,115000000,2.736678008695652,325358,Superfast!,2015-03-05,2015,20000000,0,0.0
29,Aaron Seltzer,314717971,115000000,2.736678008695652,238475,Best Night Ever,2014-01-31,2014,0,0,0.0
30,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,107548,Chori Chori Chupke Chupke,2001-03-09,2001,0,0,0.0
31,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,83382,Players,2012-01-06,2012,0,0,0.0
32,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,19658,Race,2008-03-20,2008,0,0,0.0
33,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,41902,Baadshah,1999-08-27,1999,0,0,0.0
34,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,19657,Baazigar,1993-11-12,1993,0,0,0.0
35,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,54959,Soldier,1998-12-10,1998,0,0,0.0
36,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,22316,Ajnabee,2001-09-21,2001,0,0,0.0
37,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,165404,Humraaz,2002-07-26,2002,0,0,0.0
38,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,20145,36 China Town,2006-05-05,2006,0,0,0.0
39,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,22315,Aitraaz,2004-11-12,2004,3500000,9250000,2.642857142857143
40,Abbas Alibhai Burmawalla,9250000,3500000,2.642857142857143,44749,Race 2,2013-01-25,2013,0,0,0.0
